300;0;26;49
312;0;26;49
301;0;26;49
305;0;26;66
305;0;26;66
304;0;26;66
307;2;26;104
309;2;26;104
338;2;27;104
314;6;26;180
321;6;26;180
318;6;26;180
345;14;27;332
330;14;26;332
333;14;26;332
342;30;26;636
340;30;26;636
347;30;26;636
358;62;26;1244
355;62;26;1244
352;62;26;1244
388;126;31;2460
382;126;31;2460
379;126;31;2460
430;254;41;4892
429;254;41;4892
451;254;41;4892
525;510;49;9756
520;510;49;9756
519;510;49;9756
693;1022;78;19484
691;1022;77;19484
684;1022;77;19484
991;2046;108;38940
988;2046;107;38940
1029;2046;108;38940
1634;4094;180;77852
1649;4094;180;77852
1566;4094;180;77852
2480;8190;269;155676
2314;8190;273;155676
2346;8190;277;155676
3222;16382;412;311324
3350;16382;402;311324
3324;16382;412;311324
6097;32766;664;622620
5765;32766;681;622620
5822;32766;674;622620
12518;65534;1170;1245212
11044;65534;1174;1245212
10534;65534;1203;1245212
23508;131070;2089;2490396
23375;131070;2037;2490396
22928;131070;2168;2490396
48341;262142;4084;4980764
49618;262142;3929;4980764
47751;262142;4053;4980764
