1;0
0;0
0;0
1;0
0;0
1;0
0;0
0;0
0;0
0;0
0;0
1;0
1;0
1;0
0;0
0;0
1;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
1;0
0;0
1;0
0;0
0;0
0;0
0;0
0;0
1;0
1;0
0;0
1;0
0;0
1;0
1;0
0;0
0;0
1;0
2;0
1;0
3;0
3;0
4;0
6;0
6;0
6;0
13;0
13;0
13;0
26;0
26;0
26;0
54;0
55;0
55;0
114;0
114;0
113;0
237;0
234;0
237;0
484;0
482;0
485;0
996;0
992;0
995;0
2054;0
2045;0
2171;0
4196;0
4185;0
4184;0
8588;0
8655;0
8574;0
17631;0
17749;0
18829;0
36975;0
36157;0
36239;0
73823;0
73778;0
73927;0
152884;0
